""	Estimated	Estimated	
""			Percent of
""	quantity in	quantity in	
""			total pound
WA State County	pounds by	pounds by WA	
""			by county YT
""	WA State	State county	
""			April
""	county April	YTD April	
Adams	2,526	2,526	0.0%
Asotin	8,198	18,715	0.2%
Benton	39,739	158,955	1.6%
Chelan	44,951	131,866	1.3%
Clallam	22,657	95,017	0.9%
Clark	178,958	781,502	7.6%
Columbia	NR	0	0.0%
Cowlitz	45,398	204,808	2.0%
Douglas	7,999	19,320	0.2%
Ferry	6,217	9,015	0.1%
Franklin	25,943	67,458	0.7%
Garfield	1,640	3,743	0.0%
Grant	16,452	43,587	0.4%
Grays Harbor	19,556	99,621	1.0%
Island	50,202	158,821	1.5%
Jefferson	11,329	63,189	0.6%
King	867,617	3,294,408	32.1%
Kitsap	49,481	250,666	2.4%
Kittitas	19,719	69,212	0.7%
Klickitat	6,213	6,213	0.1%
Lewis	26,071	138,437	1.4%
Lincoln	NR	8,064	0.1%
Mason	8,755	33,517	0.3%
Okanogan	1,616	6,592	0.1%
Pacific	9,411	27,394	0.3%
Pend Oreille	7,920	7,920	0.1%
Pierce	286,971	1,240,190	12.1%
San Juan	17,932	25,812	0.3%
Skagit	34,936	145,127	1.4%
Skamania	6,405	13,812	0.1%
Snohomish	301,681	1,330,774	13.0%
Spokane	228,713	541,005	5.3%
Stevens	12,090	23,411	0.2%
Thurston	119,047	518,105	5.1%
Wahkiakum	NR	2,188	0.0%
Walla Walla	42,001	94,226	0.9%
Whatcom	76,814	330,831	3.2%
Whitman	19,706	55,436	0.5%
Yakima	34,169	231,345	2.3%
Total	2,659,033	10,252,828	100.0%
