•ÈÀOBJECTID	Shape	ZONE	CONTRACTOR	CNTR_DESC	SUBZONE	FREQUENCY	PCKUP_DAY	ROUTE_ID	Shape_Length	Shape_Area
1	"(47.73412841600003, -122.34509698899996)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	THU	4801	"9,493.78"	"3,287,752.90"
2	"(47.73412841600003, -122.34509698899996)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	THU	4808	"4,215.77"	"1,088,073.69"
3	"(47.734136542000044, -122.33427600299996)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	THU	4809	"5,745.50"	"1,974,034.32"
4	"(47.72867768100008, -122.34503681599995)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	THU	4802	"8,916.74"	"2,660,712.32"
5	"(47.728671758000075, -122.33421605299998)"	G1	WASTEMGT	WASTE MANAGEMENT	1	B	THU	4810	"8,425.25"	"2,874,830.32"
6	"(47.72321151700004, -122.34497671799994)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	THU	4803	"8,224.52"	"1,800,144.94"
7	"(47.721391776000075, -122.34495675399995)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	THU	4805	"5,388.04"	"1,538,467.56"
8	"(47.71972464300006, -122.37534049399994)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	WED	3803	"13,173.18"	"3,682,294.36"
9	"(47.71961844400005, -122.35824773499996)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	THU	4804	"6,160.72"	"1,816,451.91"
10	"(47.71416979800006, -122.35820301799998)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	THU	4806	"6,274.83"	"1,952,074.41"
11	"(47.708771038000066, -122.36615028599999)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	WED	3805	"6,931.39"	"1,485,736.88"
12	"(47.708685169000034, -122.34475399399997)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	THU	4807	"5,632.37"	"1,274,159.28"
13	"(47.705051222000066, -122.34469394399997)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	WED	3807	"5,739.63"	"1,065,336.16"
14	"(47.70154678000006, -122.38755550599996)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	WED	3802	"5,608.49"	"1,292,419.69"
15	"(47.701546809000035, -122.39103410599995)"	G1	WASTEMGT	WASTE MANAGEMENT	1	A	WED	3801	"6,813.62"	"2,592,612.12"
