OBJECTID	SHAPE_LATITUDE	SHAPE_LONGITUDE	SHAPE_LOCATION	ZONE	CONTRACTOR	CNTR_DESC	SUBZONE	FREQUENCY	PCKUP_DAY	ROUTE_ID	SHAPE_LENGTH	SHAPE_AREA
1	47.73412841600003	-122.34509698899996	(47.73412841600003, -122.34509698899996)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	THU	4801	9493.78	3287752.90
2	47.73412841600003	-122.34509698899996	(47.73412841600003, -122.34509698899996)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	THU	4808	4215.77	1088073.69
3	47.734136542000044	-122.33427600299996	(47.734136542000044, -122.33427600299996)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	THU	4809	5745.50	1974034.32
4	47.72867768100008	-122.34503681599995	(47.72867768100008, -122.34503681599995)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	THU	4802	8916.74	2660712.32
5	47.728671758000075	-122.33421605299998	(47.728671758000075, -122.33421605299998)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	THU	4810	8425.25	2874830.32
6	47.72321151700004	-122.34497671799994	(47.72321151700004, -122.34497671799994)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	THU	4803	8224.52	1800144.94
7	47.721391776000075	-122.34495675399995	(47.721391776000075, -122.34495675399995)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	THU	4805	5388.04	1538467.56
8	47.71972464300006	-122.37534049399994	(47.71972464300006, -122.37534049399994)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	WED	3803	13173.18	3682294.36
9	47.71961844400005	-122.35824773499996	(47.71961844400005, -122.35824773499996)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	THU	4804	6160.72	1816451.91
10	47.71416979800006	-122.35820301799998	(47.71416979800006, -122.35820301799998)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	THU	4806	6274.83	1952074.41
11	47.708771038000066	-122.36615028599999	(47.708771038000066, -122.36615028599999)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	WED	3805	6931.39	1485736.88
12	47.708685169000034	-122.34475399399997	(47.708685169000034, -122.34475399399997)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	THU	4807	5632.37	1274159.28
13	47.705051222000066	-122.34469394399997	(47.705051222000066, -122.34469394399997)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	WED	3807	5739.63	1065336.16
14	47.70154678000006	-122.38755550599996	(47.70154678000006, -122.38755550599996)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	WED	3802	5608.49	1292419.69
15	47.701546809000035	-122.39103410599995	(47.701546809000035, -122.39103410599995)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	WED	3801	6813.62	2592612.12
16	47.70122592100006	-122.37677153299995	(47.70122592100006, -122.37677153299995)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	WED	3804	6974.53	1536837.05
17	47.70154244500003	-122.37676925899996	(47.70154244500003, -122.37676925899996)	G1	WASTEMGT	WASTE MANAGEMENT	1	A	WED	3806	6652.46	1175059.67
18	47.70142998000006	-122.34465103099996	(47.70142998000006, -122.34465103099996)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	WED	3808	5673.05	1207908.56
19	47.701423248000026	-122.34195726099995	(47.701423248000026, -122.34195726099995)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	THU	4814	5398.51	899872.18
20	47.695959377000065	-122.33649932399999	(47.695959377000065, -122.33649932399999)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	THU	4813	6345.86	1238051.46
21	47.700381994000054	-122.36471869199994	(47.700381994000054, -122.36471869199994)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	WED	3809	5194.52	1294675.47
22	47.697851866000065	-122.36070579399995	(47.697851866000065, -122.36070579399995)	G1	WASTEMGT	WASTE MANAGEMENT	1	B	WED	3812	5512.51	1073745.10
