ARTWORK CITY,ARWORK ADDRESS,ZIP CODE,ARTWORK LATITUDE,ID NUMBER,ARTIST,TITLE,DATE,MATERIALS,MEASUREMENTS,CREDIT LINE,ARTWORK SITE,SPECIFIC LOCATION,Location 1
Aberdeen,"1620 Edward P Smith Dr, ",98520,46.953347,WSAC2003.071.000,"Blomberg, Cecilia",The Grays Harbor College Tapestry,2004,Cotton and wool fiber tapestry,4 1/2 ft x 13 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Grays Harbor College,Grays Harbor College,"Library, 2nd floor behind reference desk","(46.953347, -123.803312)"
Aberdeen,"1620 Edward P Smith Dr, ",98520,46.953615,WSAC2005.016.00A-B,"DeVoe, Mike",Out Where Grays Harbor Meets the Pacific; Upriver Grays Harbor,2006,Carved and painted Poplar,94 in x 38 in x 18 in (each),This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Grays Harbor College,Grays Harbor College,1st and 2nd floor in Instructional Building,"(46.953615, -123.802454)"
Aberdeen,"1620 Edward P Smith Dr, ",98532,46.95433,WSAC2010.004.000,"Guzak, Karen",Geometries: Cross,1992,Lithograph on paper,29 in x 29 in (sheet),This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Grays Harbor College,Grays Harbor College,"2000 bldg, Human Resources office","(46.954330, -123.803535)"
Aberdeen,"1620 Edward P Smith Dr, ",98520,46.954394,WSAC1993.018.000,"Sogabe, Aki",Night Ocean,1992,Cut paper,24 in x 13 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Grays Harbor College,Grays Harbor College,"2000 Bldg, Business Office Hallway","(46.954394, -123.803304)"
Aberdeen,"1620 Edward P Smith Dr, ",98520,46.954464,WSAC2005.020.000,"Franklin, David",Chinookan Sunset,2007,"Carved Douglas fir, Western redcedar, and Sitka spruce",14 ft x 14 ft x 1 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Grays Harbor College,Grays Harbor College,"Main lobby, main floor of Instructional Building","(46.954464, -123.801356)"
Aberdeen,"191 Constantine Way, ",99156,46.925452,WSAC2001.056.002,Ralph Helmick and Stuart Schechter,Migration II,2003,Cast urethane resin and stainless steel cable,4 ft x 12 ft x 12 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Department of Corrections,Stafford Creek Corrections Center,Stafford Creek Public Access Area & Visiting Areas,"(46.925452, -123.922606)"
Aberdeen,"410 North G St., ",98601,46.97964921408333,WSAC2007.048.000,"Paquette, Virginia",The Chehalis and the Wishkah River Path,2009,"Aluminum, dyes, and stainless steel",4 ft x 84 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Aberdeen School District,Aberdeen-Weatherwax High School,Commons,"(46.97964921408333, -123.81784525396728)"
Airway Heights,"12824 W 12th Street, ",98466-6100,47.645051,WSAC1994.028.000,"Sogabe, Aki",Carps,1994,Cut paper,14 in x 10 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Cheney School District,Sunset Elementary,Hallway toward 600 wing,"(47.645051, -117.589116)"
Amboy,"22115 NE Chelatchie Rd., ",98601,45.913503,WSAC2008.013.003,"Frugé-Brown, Kathleen",Path Through the Woods,2009,Vitreous enamel on steel,42 in x 108 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Battle Ground School District,Amboy Middle School,entry hallway,"(45.913503, -122.443007)"
Amboy,"22115 NE Chelatchie Rd., ",98601,45.913503,WSAC2008.013.002,"Frugé-Brown, Kathleen",Creek in a Pasture,2009,Vitreous enamel on steel,42 in x 105 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Battle Ground School District,Amboy Middle School,Entry hallway,"(45.913503, -122.443007)"
Amboy,"22115 NE Chelatchie Rd., ",98007,45.913503,WSAC2008.013.001,"Frugé-Brown, Kathleen",Lewis River Above Moulton Falls,2009,Vitreous enamel on steel,42 in x 108 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Battle Ground School District,Amboy Middle School,Entry hallway,"(45.913503, -122.443007)"
Arlington,"18821 Crown Ridge Blvd, ",98935,48.166096,WSAC2003.032.00A-B,"Archibald, Jack",Bridge,2004,"Blown, iridized, dichroic, and leaded glass",168 in x 360 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Arlington School District,Arlington High School,2 Atrium walls between academic wings,"(48.166096, -122.114852)"
Arlington,"515 E. Third Street, ",99037,48.195473,WSAC2006.001.000,"Bale, Melissa",There Once was an Alligator in Arlington,2006,Acrylic and gouache on paper mounted on panel,96 in x 144 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Arlington School District,Presidents Elementary,"Library, Large wall behind circulation desk - Adjacent to main entrance","(48.195473, -122.12029)"
Arlington,"600 East 1st, ",99203,48.192298,WSAC2007.008.000,"Foolery, Tom",Factual Fictions,2007,Miniature mixed media environments,57 in x 67 in x 23 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Arlington School District,Haller Middle School,Secondary student entrance - Corridor display case,"(48.192298, -122.121449)"
Auburn,"12401 SE 320th St., ",98092-3699,47.311918,WSAC2012.032.000,"Vexler, Paul",Circuity,2013,Douglas fir and laminated plastic,15 ft x 30 ft x 8 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Green River Community College,Green River Community College,North entrance of Cedar Hall,"(47.311918, -122.179202)"
Auburn,"12401 SE 320th St., ",98166,47.312276,WSAC2005.009.000,"Bates, Gary",Rain Scale,2009,Steel and stainless steel,26 ft x 48 ft x 18 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Green River Community College,Green River Community College,Retention pond near Tech and Science Buildings,"(47.312276, -122.179317)"
Auburn,"12401 SE 320th St., ",98092-3699,47.313347,WSAC2010.011.A-UU,"Point, Susan",Woven to Place,2011,Carved Western Red cedar and acrylic on canvas,17 ft x 7 ft x 2 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Green River Community College,Green River Community College,Salish Hall Building,"(47.313347, -122.17866)"
Auburn,"27847 42nd Ave South, ",99181,47.351642276423874,WSAC2011.015.00A-D,"Edwards, Garth",Valhalla Wildlife,2012,Aluminum,dimensions variable,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Federal Way School District,Valhalla Elementary,East facade,"(47.351642276423874, -122.28281237242203)"
Auburn,"28900 124th Ave. SE, ",98936,47.342074,WSAC2005.037.001,"Spiering, Ken",Serenity: Pride in our Formation,2007,Vitreous enamel on copper with a plywood backing and powder-coated steel frame,72 in x 72 in x 3/4 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Auburn School District,Mountainview High School,Side wall of main stairwell,"(47.342074, -122.171866)"
Auburn,"28900 124th Ave. SE, ",98092-,47.342088,WSAC2005.037.002,"Spiering, Ken",Serenity: Humility in our Contribution,2007,Vitreous enamel on copper with a plywood backing and powder-coated steel frame,72 in x 72 in x 3/4 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Auburn School District,Mountainview High School,Side wall of main stairwell,"(47.342088, -122.171866)"
Auburn,"35675 32nd Ave South, ",98391,47.280345,WSAC2012.001.00A-D,"Essley, Janet",Transformation,2012,Acrylic on panel,dimensions variable,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Federal Way School District,Lakeland Elementary,Main lobby and central hallway,"(47.280345, -122.293673)"
Battle Ground,"1900 NW 20th Ave, ",98604,45.793973,WSAC2008.009.001,"Dupille, Michael",Encycleafpedia,2009,Kilm-formed glass,37 in x 74 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Battle Ground School District,Daybreak Primary,Middle School foyer,"(45.793973, -122.559202)"
Battle Ground,"1900 NW 20th Ave, ",98604,45.794474,WSAC2008.009.003,"Dupille, Michael",Boomerangs,2009,Kilm-formed glass,42 in x 144 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Battle Ground School District,Daybreak Primary,Media Center,"(45.794474, -122.560239)"
Battle Ground,"1900 NW 20th Ave, ",99006,45.794615,WSAC2008.009.002,"Dupille, Michael",Reflected Rainbow/Trout,2009,Kilm-formed glass,24 in x 84 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Battle Ground School District,Daybreak Primary,Commons hallway,"(45.794615, -122.560542)"
Battle Ground,"1900 NW 20th Ave, ",98604,45.794651,WSAC2008.009.004,"Dupille, Michael","Attention, Distraction",2009,Kiln-formed glass,24 in x 84 in x 1 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Battle Ground School District,Daybreak Primary,Primary School foyer,"(45.794651, -122.560199)"
Battle Ground,"20601 NE 167th Ave, ",98903,45.772836,WSAC2008.024.00A-FF,"Thompson, Cappy",They Sailed Away for a Year and a Day,2010,Vitreous enamel on float glass,2 ft x 50 ft (each half),This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Battle Ground School District,Tukes Valley Primary,Learning Resource Center,"(45.772836, -122.498146)"
Battle Ground,"700 NW 9th St., ",99326-1200,45.787253,WSAC2008.023.000,"Furchgott, Terry",Wings Around the World,2011,"Cut aluminum, gesso, acrylic paint",20 ft x 10.6 ft x 10.6 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Battle Ground School Distict,Chief Umtuch Elementary,Skylight atrium,"(45.787253, -122.546054)"
Bellevue,"3000 Landerholm Circle SE, K100F",98007,47.582028,WSAC1996.023.00A-D,"Balazs, Harold",A Collection,1997,"Stainless steel, aluminum, and concrete",288 in x 192 in x 14 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Secretary of State,Bellevue College,West side of NWCET Building; Puget Sound Regional Archives Entrance,"(47.582028, -122.150496)"
Bellevue,"3000 Landerholm Circle SE, K100F",98007,47.583822,WSAC2003.067.000,"Calderon, Mark",Process,2007,Bronze and basalt,73 in x 40 in x 30 in,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bellevue Community College,Bellevue College,Exterior concourse in front of library,"(47.583822, -122.149608)"
Bellevue,"3000 Landerholm Circle SE, K100F",98007,47.584906,WSAC2007.032.00A-O,Lead Pencil Studio,Endless,2009,Concrete and welded stainless steel rods,32 ft x 50 ft x 64 ft,This artwork is a part of the State Art Collection and was acquired by the Washington State Arts Commission in partnership with Bellevue College,Bellevue College,main entrance of campus - exterior of Science Building,"(47.584906, -122.147248)"
