Year	Generated	Percent Change	Disposed	Percent Change
2000	793,842	NA	476,132	NA
2001	782,809	-1.4%	475,270	-0.2%
2002	768,346	-1.8%	463,086	-2.6%
2003	741,094	-3.5%	458,011	-1.1%
2004	780,044	5.3%	458,389	0.1%
2005	790,457	1.3%	440,693	-3.9%
2006	836,499	5.8%	438,381	-0.5%
2007	848,759	1.5%	439,407	0.2%
2008	789,608	-7.0%	394,748	-10.2%
2009	719,424	-8.9%	351,689	-10.9%
2010	724,468	0.7%	335,570	-4.6%
2011	715,996	-1.2%	319,341	-4.8%
2012	713,803	-0.3%	315,966	-1.1%
2013	724,838	1.5%	317,258	0.4%
2014	721,269	-0.4%	309,515	-2.4%
2015	720,904	-0.1%	302,467	-2.3%
