Year	Generated	Disposed	Recycled	Recycle Rate
2000	208,468	87,499	120,969	58.0%
2001	211,982	91,072	120,910	57.0%
2002	206,474	87,834	118,640	57.5%
2003	205,748	87,426	118,322	57.5%
2004	209,132	86,029	123,103	58.9%
2005	208,675	80,478	128,197	61.4%
2006	216,946	78,078	138,868	64.0%
2007	220,128	77,494	142,634	64.8%
2008	213,889	73,961	139,928	65.4%
2009	215,015	67,229	147,786	68.7%
2010	216,484	64,309	152,175	70.3%
2011	212,861	62,779	150,082	70.5%
2012	211,030	60,906	150,124	71.1%
2013	206,592	60,291	146,301	70.8%
2014	206,992	59,772	147,220	71.1%
2015	204,397	52,529	151,868	74.3%
