Year	Total	Disposed*	Recycled	Beneficial	Recycle Rate	Diversion
""	Generated			Use		Rate
2007	415,801	201,156	204,907	9,738	49.3%	51.6%
2008	397,052	181,241	200,851	14,961	50.6%	54.4%
2009	288,551	115,446	162,742	10,362	56.4%	60.0%
2010	288,957	97,241	178,794	11,864	61.9%	66.0%
2011	359,390	118,216	227,049	14,125	63.2%	67.1%
2012	376,328	129,383	224,060	18,519	59.9%	64.5%
2013	386,200	127,040	234,982	24,178	60.8%	67.2%
2014	494,055	136,837	317,331	39,887	64.2%	72.3%
2015	408,395	133,804	234,255	40,336	57.4%	67.2%
