COMMERCIAL MARKET PRICES			
			
	White Ledger	Soft (Sorted) Office Paper2	Old Corrugated Containers (OCC)
2016 AVG YTD:	$222.50	$150.23	$76.14
2015 AVG:	$222.50	$149.77	$76.59
2014 AVG:	$216.14	$146.14	$85.68
2013 AVG:	$219.34	$148.82	$100.39
2012 AVG:	$250.98	$168.15	$101.85
2011 AVG:	$301.38	$212.92	$140.63
2010 AVG:	$279.17	$196.25	$106.67
2009 AVG:	$203.33	$115.00	$51.67
2008 AVG:	$253.65	$189.81	$120.19
2007 AVG:	$200.63	$159.38	$122.29
2006 AVG:	$103.33	$90.00	$62.08
2005 AVG:	$77.92	$70.42	$59.58
2004 AVG:	$77.50	$72.50	$50.42
2003 AVG:	$64.24	$68.48	$44.78
2002 AVG:	$37.50	$43.37	$53.80
2001 AVG:	$41.46	$44.38	$27.92
2000 AVG:	$108.30	$95.68	$73.86
1999 AVG:	$107.17	$76.63	$62.72
1998 AVG:	$114.09	$78.75	$74.66
1997 AVG:	$122.61	$63.26	$81.09
1996 AVG:	$140.83	$55.83	$69.79
1995 AVG:	$246.98	$137.38	$105.50
1994 AVG:	$125.00	$68.84	$69.73
1993 AVG:	$102.93	$56.22	$20.16
			
2 Prior to 1996 prices are for Color Ledger.			
			
Source For Commercial Market Prices:			
Mill Trade Journal's Recycling Markets (published w/ permission)			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
