	White	Soft (Sorted)		Color 
Date	 Ledger	Office	OCC	Ledger
4-Jan-93	$115.00		$25.00	$65.00
11-Jan-93	$115.00		$25.00	$65.00
18-Jan-93	$115.00		$25.00	$65.00
25-Jan-93	$115.00		$25.00	$65.00
1-Feb-93	$115.00		$25.00	$65.00
15-Feb-93	$115.00		$25.00	$65.00
1-Mar-93	$115.00		$25.00	$65.00
8-Mar-93	$115.00		$25.00	$65.00
15-Mar-93	$110.00		$25.00	$65.00
22-Mar-93	$110.00		$25.00	$65.00
29-Mar-93	$110.00		$25.00	$65.00
5-Apr-93	$110.00		$25.00	$65.00
12-Apr-93	$110.00		$25.00	$65.00
19-Apr-93	$110.00		$25.00	$65.00
26-Apr-93	$110.00		$25.00	$65.00
3-May-93	$110.00		$25.00	$65.00
10-May-93	$95.00		$17.50	$65.00
17-May-93	$95.00		$17.50	$65.00
24-May-93	$95.00		$17.50	$65.00
31-May-93	$120.00		$17.50	$65.00
7-Jun-93	$95.00		$17.50	$65.00
14-Jun-93	$95.00		$17.50	$65.00
21-Jun-93	$102.50		$17.50	$60.00
28-Jun-93	$102.50		$17.50	$60.00
5-Jul-93	$102.50		$17.50	$60.00
12-Jul-93	$102.50		$17.50	$60.00
19-Jul-93	$102.50		$17.50	$55.00
26-Jul-93	$102.50		$17.50	$55.00
2-Aug-93	$102.50		$17.50	$55.00
9-Aug-93	$102.50		$17.50	$55.00
16-Aug-93	$102.50		$17.50	$55.00
23-Aug-93	$95.00		$17.50	$45.00
30-Aug-93	$95.00		$17.50	$45.00
6-Sep-93	$95.00		$17.50	$45.00
13-Sep-93	$95.00		$17.50	$45.00
27-Sep-93	$95.00		$17.50	$45.00
4-Oct-93	$95.00		$17.50	$45.00
11-Oct-93	$95.00		$17.50	$45.00
18-Oct-93	$95.00		$17.50	$42.50
25-Oct-93	$95.00		$17.50	$42.50
1-Nov-93	$95.00		$17.50	$42.50
8-Nov-93	$95.00		$17.50	$42.50
22-Nov-93	$95.00		$17.50	$42.50
29-Nov-93	$95.00		$17.50	$42.50
6-Dec-93	$95.00		$17.50	$42.50
13-Dec-93	$95.00		$17.50	$42.50
27-Dec-93	$95.00		$22.50	$42.50
3-Jan-94	$95.00		$22.50	$42.50
10-Jan-94	$95.00		$22.50	$42.50
17-Jan-94	$95.00		$22.50	$42.50
24-Jan-94	$115.00		$32.50	$52.50
31-Jan-94	$115.00		$32.50	$52.50
7-Feb-94	$110.00		$32.50	$52.50
21-Feb-94	$130.00		$42.50	$57.50
7-Mar-94	$120.00		$42.50	$57.50
21-Mar-94	$120.00		$42.50	$57.50
4-Apr-94	$120.00		$42.50	$57.50
18-Apr-94	$120.00		$55.00	$65.00
2-May-94	$120.00		$55.00	$65.00
16-May-94	$110.00		$70.00	$65.00
30-May-94	$110.00		$70.00	$65.00
13-Jun-94	$110.00		$90.00	$70.00
27-Jun-94	$110.00		$105.00	$70.00
4-Jul-94	$110.00		$105.00	$70.00
18-Jul-94	$120.00		$135.00	$80.00
1-Aug-94	$120.00		$135.00	$80.00
15-Aug-94	$120.00		$120.00	$80.00
4-Sep-94	$120.00		$120.00	$80.00
19-Sep-94	$135.00		$102.50	$80.00
3-Oct-94	$135.00		$82.50	$80.00
17-Oct-94	$145.00		$67.50	$80.00
7-Nov-94	$145.00		$67.50	$80.00
21-Nov-94	$145.00		$72.50	$87.50
5-Dec-94	$205.00		$82.50	$107.50
19-Dec-94	$205.00		$82.50	$107.50
2-Jan-95	$205.00		$82.50	$107.20
16-Jan-95	$275.00		$107.20	$155.00
6-Feb-95	$275.00		$107.20	$155.00
20-Feb-95	$275.00		$115.00	$155.00
6-Mar-95	$275.00		$115.00	$155.00
20-Mar-95	$295.00		$150.00	$182.50
3-Apr-95	$295.00		$150.00	$182.50
17-Apr-95	$315.00		$155.00	$182.50
1-May-95	$305.00		$155.00	$182.50
15-May-95	$335.00		$155.00	$177.50
5-Jun-95	$335.00		$155.00	$177.50
19-Jun-95	$300.00		$140.00	$167.50
3-Jul-95	$282.50		$140.00	$167.50
17-Jul-95	$260.00		$120.00	$140.00
7-Aug-95	$225.00		$100.00	$125.00
21-Aug-95	$225.00		$100.00	$125.00
4-Sep-95	$225.00		$100.00	$125.00
18-Sep-95	$225.00		$90.00	$125.00
2-Oct-95	$200.00		$60.00	$105.00
16-Oct-95	$190.00		$50.00	$95.00
6-Nov-95	$170.00		$50.00	$85.00
20-Nov-95	$130.00		$37.50	$70.00
4-Dec-95	$130.00		$37.50	$70.00
18-Dec-95	$180.00		$60.00	$85.00
8-Jan-96	$180.00	$45.00	$75.00	
22-Jan-96	$180.00	$45.00	$75.00	
12-Feb-96	$170.00	$45.00	$70.00	
26-Feb-96	$170.00	$45.00	$70.00	
11-Mar-96	$170.00	$45.00	$65.00	
25-Mar-96	$190.00	$45.00	$65.00	
8-Apr-96	$135.00	$45.00	$52.50	
22-Apr-96	$125.00	$45.00	$52.50	
13-May-96	$125.00	$45.00	$52.50	
27-May-96	$125.00	$45.00	$52.50	
10-Jun-96	$125.00	$65.00	$75.00	
24-Jun-96	$125.00	$65.00	$75.00	
8-Jul-96	$125.00	$65.00	$75.00	
22-Jul-96	$125.00	$65.00	$75.00	
12-Aug-96	$125.00	$65.00	$75.00	
26-Aug-96	$125.00	$65.00	$75.00	
9-Sep-96	$135.00	$65.00	$75.00	
23-Sep-96	$135.00	$65.00	$75.00	
14-Oct-96	$135.00	$65.00	$80.00	
28-Oct-96	$135.00	$65.00	$75.00	
11-Nov-96	$135.00	$65.00	$75.00	
28-Nov-96	$135.00	$65.00	$75.00	
9-Dec-96	$125.00	$55.00	$70.00	
23-Dec-96	$125.00	$55.00	$70.00	
13-Jan-97	$100.00	$55.00	$70.00	
27-Jan-97	$100.00	$55.00	$80.00	
10-Feb-97	$145.00	$55.00	$85.00	
24-Feb-97	$135.00	$55.00	$85.00	
10-Mar-97	$135.00	$55.00	$75.00	
24-Mar-97	$135.00	$55.00	$75.00	
14-Apr-97	$115.00	$55.00	$65.00	
28-Apr-97	$115.00	$55.00	$65.00	
12-May-97	$115.00	$55.00	$65.00	
26-May-97	$115.00	$55.00	$65.00	
9-Jun-97	$115.00	$55.00	$70.00	
23-Jun-97	$115.00	$55.00	$70.00	
14-Jul-97	$115.00	$60.00	$80.00	
28-Jul-97	$115.00	$60.00	$80.00	
11-Aug-97	$120.00	$65.00	$90.00	
8-Sep-97	$125.00	$65.00	$100.00	
22-Sep-97	$125.00	$65.00	$100.00	
13-Oct-97	$125.00	$75.00	$95.00	
27-Oct-97	$125.00	$75.00	$95.00	
10-Nov-97	$130.00	$80.00	$92.50	
24-Nov-97	$130.00	$80.00	$92.50	
8-Dec-97	$135.00	$85.00	$85.00	
29-Dec-97	$135.00	$85.00	$85.00	
12-Jan-98	$135.00	$85.00	$85.00	
26-Jan-98	$135.00	$85.00	$85.00	
9-Feb-98	$135.00	$85.00	$85.00	
23-Feb-98	$135.00	$85.00	$85.00	
