Recycled Material Tons Recycled7	BTUs Saved (millions)	GHGs Avoided (MTCE8)
Aluminum Cans 15,636	2,397,468	39,017
Steel Cans 17,267	354,523	8,726
Glass 97,374	262,034	8,452
Plastics9 66,830	2,613,221	13,192
Corrugated Cardboard 483,864	7,557,757	473,293
Mixed Paper10 547,754	10,177,883	492,446
Wood11 534,577	3,148,650	26,834
Yard Trimmings 869,175	95,138	-20,266
Food Scraps 355,258	325,258	76,439
Other Organics 261,355	4,809	27,343
Mixed Metals 1,556,734	104,625,606	1,875,557
Landclearing Debris 227,729	252,153	-31,213
Carpet 4,341	96,096	2,843
Computers/Electronics 51,412	1,532,516	35,824
Construction &		
70,746 Demolition Debris12 2,276,218	4,229,351	
Tires 47,991	1,258,602	9,756
Subtotal 7,413,514	138,921,444	3,115,441
Other Recycling 486,276		
Total 7,899,790	Data not available for all material categories	
