""		Recology	Waste	Total Single	Cumulative Single
Yr	Mo	Cleanscapes	Management	Family Tons	Family Tons
2015	1	2,296.1	2,966.3	5,262.4	5,262.4
2015	2	1,888.9	2,448.4	4,337.3	9,599.7
2015	3	2,081.2	2,696.6	4,777.8	14,377.5
2015	4	2,111.7	2,755.5	4,867.1	19,244.6
2015	5	2,047.4	2,685.5	4,732.8	23,977.5
2015	6	2,226.8	2,921.1	5,147.9	29,125.4
2015	7	2,259.9	2,999.3	5,259.2	34,384.6
2015	8	2,105.0	2,724.1	4,829.1	39,213.7
2015	9	2,290.0	2,930.0	5,220.0	44,433.7
2015	10	2,186.6	2,800.8	4,987.5	49,421.1
2015	11	2,241.1	2,893.6	5,134.7	54,555.8
2015	12	2,565.7	3,312.1	5,877.8	60,433.7
2016	1	2,268.6	2,982.8	5,251.3	5,251.3
2016	2	2,034.8	2,698.8	4,733.6	9,984.9
2016	3	2,240.4	2,941.8	5,182.2	15,167.1
2016	4	2,000.8	2,657.9	4,658.7	19,825.9
2016	5	2,129.8	2,788.1	4,917.9	24,743.8
2016	6	2,177.4	2,860.8	5,038.2	29,781.9
2016	7	2,035.3	2,729.4	4,764.7	34,546.7
2016	8	2,243.8	2,966.5	5,210.3	39,757.0
2016	9	2,191.9	2,867.7	5,059.6	44,816.6
2016	10	2,117.0	2,739.7	4,856.7	49,673.3
2016	11	2,372.0	3,011.1	5,383.1	55,056.4
2016	12	2,358.4	2,906.8	5,265.3	60,321.6
