Recology	Waste	Total	Recology Waste			
Cleanscapes	Management	Curb	Cleanscapes Management	Total Curb		LBS PER
Curb Bldgs	Curb Bldgs	Bldg 3s	Curb H 3ouseholds Curb Households	Households		HOUSEHOLD
58,100	91,202	149,302	61,145 94,601	155,746		67.6
58,121	91,234	149,355	61,149 94,653	155,802		55.7
58,159	91,315	149,474	61,189 94,739	155,928		61.3
58,198	91,423	149,621	61,242 94,852	156,094		62.4
58,263	91,527	149,790	61,303 94,935	156,238		60.6
58,311	91,585	149,896	61,328 95,007	156,335		65.9
58,346	91,629	149,975	61,380 95,069	156,449		67.2
58,364	91,657	150,021	61,367 95,113	156,480		61.7
58,380	91,670	150,050	61,399 95,131	156,530		66.7
58,326	91,629	149,955	61,349 95,052	156,401		63.8
58,315	91,622	149,937	61,337 95,045	156,382		65.7
58,305	91,642	149,947	61,309 95,079	156,388		75.2
58,291	91,638	149,929	61,299 95,081	156,380		67.2
58,281	91,635	149,916	61,289 95,105	156,394		60.5
58,338	91,721	150,059	61,312 95,168	156,480		66.2
58,401	91,784	150,185	61,450 95,300	156,750		59.4
58,454	91,884	150,338	61,514 95,421	156,935		62.7
58,514	91,933	150,447	61,586 95,474	157,060		64.2
58,471	91,951	150,422	61,348 95,365	156,713		60.8
58,500	91,985	150,485	61,352 95,388	156,740		66.5
58,500	91,985	150,485	61,352 95,388	156,740		64.6
N/A	N/A	153,111	N/A N/A	173,894		55.9
N/A	N/A	153,111	N/A N/A	173,894		61.9
N/A	N/A	153,111	N/A N/A	173,894		60.6
