""	ALUM	FERROUS METAL	GLASS	MIXED PAPER	NEWS PAPER	PLASTICS	TIN	CONTAMINANTS	TOTAL w/cont	TOTAL w/o cont	PER HOUSEHOLD
2016 SF Total:	530.5	303.4	16,010.0	24,936.9	8,680.4	3,044.7	707.0	6,108.7	60,321.6	54,212.9	62.5
2015 SF Total:	531.5	304.0	16,039.8	24,983.3	8,696.5	3,050.3	708.3	6,120.0	60,433.7	54,313.6	64.5
2014 SF Total:	574.3	286.1	10,615.4	28,987.1	12,077.3	2,729.7	782.0	3,300.7	59,352.6	56,051.9	63.6
2013 SF Total:	563.9	280.9	10,423.2	28,462.3	11,858.7	2,680.3	767.8	3,241.0	58,278.2	55,037.2	62.6
2012 SF Total:	566.8	282.3	10,476.2	28,607.2	11,919.0	2,693.9	771.7	3,257.5	58,574.7	55,317.2	63.1
2011 SF Total:	586.4	292.1	10,839.2	29,598.4	12,332.0	2,787.3	798.5	3,370.3	60,604.2	57,233.9	65.5
2010 SF Total:	594.1	296.0	10,981.8	29,987.7	12,494.2	2,823.9	809.0	3,414.7	61,401.4	57,986.8	66.1
2009 SF Total:	607.0	302.4	11,219.1	30,635.8	12,764.2	2,885.0	826.5	3,488.5	62,728.5	59,240.0	68.3
2008 SF Total:	329.9	150.8	11,361.8	26,594.3	21,475.4	1,518.6	525.5	1,270.4	63,226.7	61,956.3	68.8
2007 SF Total:	352.6	161.2	12,132.4	28,372.8	22,919.0	1,621.1	561.4	1,354.2	67,474.7	66,120.5	72.6
2006 SF Total:	348.7	159.4	11,996.9	28,048.8	22,659.4	1,602.9	555.2	1,338.5	66,709.9	65,371.5	72.5
2005 SF Total:	342.4	156.5	11,770.0	27,496.3	22,219.5	1,572.2	545.0	1,311.2	65,413.1	64,101.9	71.5
2004 SF Total:	414.1	88.5	10,929.5	26,217.6	21,932.1	1,452.8	725.4	2,542.2	64,302.2	61,760.0	69.8
2003 SF Total:	400.1	85.5	10,560.2	25,333.0	21,192.3	1,403.8	700.9	2,456.8	62,132.5	59,675.7	67.7
2002 SF Total:	398.4	84.7	10,518.2	25,216.8	21,092.5	1,397.5	698.0	2,440.5	61,846.6	59,406.1	67.9
2001 SF Total:	397.4	84.2	10,493.3	25,149.3	21,034.7	1,393.8	696.3	2,431.5	61,680.4	59,249.0	66.6
2000 SF Total:	490.2	85.5	11,963.1	24,986.6	22,499.7	1,442.1	747.8	2,432.2	64,410.0	62,215.0	69.9
1999 SF Total:	799.6	81.8	12,969.2	22,870.2	23,947.3	727.3	1,439.9	1,026.8	63,862.0	62,835.2	70.6
1998 SF Total:	762.8	78.2	12,387.9	21,877.6	22,868.9	694.6	1,369.7	993.3	61,032.7	60,039.4	67.5
1997 SF Total:	741.0	75.9	12,029.0	21,233.7	22,208.0	674.5	1,331.8	960.6	59,254.5	58,293.9	67.5
1996 SF Total:	693.1	71.0	11,249.4	19,855.4	20,769.0	630.8	1,245.9	897.5	55,412.0	54,514.5	61.3
1995 SF Total:	707.7	72.5	11,490.8	20,288.7	21,213.5	644.3	1,271.3	919.6	56,608.4	55,688.7	63.1
1994 SF Total:	696.3	71.3	11,307.4	19,967.5	20,874.6	634.0	1,250.6	905.9	55,707.7	54,801.8	61.6
1993 SF Total:	652.8	66.9	10,606.8	18,742.1	19,579.3	557.5	1,171.0	854.4	52,268.0	51,376.4	57.7
1992 SF Total:	862.8	NA	10,702.0	17,610.6	17,412.9	288.8	1,409.9	1,259.6	49,546.6	48,287.0	54.2
1991 SF Total:	684.6	NA	9,540.4	19,537.8	16,103.2	268.3	1,423.7	1,004.4	48,562.4	47,558.0	53.4
1990 SF Total:	895.1	NA	9,096.9	17,201.8	17,373.0	163.1	1,306.8	685.9	46,722.6	46,036.7	51.3
1989 SF Total:	433.2	NA	8,671.4	15,149.6	15,115.6	88.9	1,279.9	121.0	40,859.6	40,738.6	46.2
1988 SF Total:	242.3	NA	4,833.6	7,739.7	10,481.4	0.0	649.2	39.4	23,985.6	23,946.2	31.9
