""	ALUM	FERROUS METAL	GLASS	MIXED PAPER	NEWS PAPER	PLASTICS	TIN	CONTAMINANTS	TOTAL
2015-2016 Avg:	0.9%	0.5%	26.5%	41.3%	14.4%	5.0%	1.2%	10.1%	100%
2009-2014 Avg:	1.0%	0.5%	17.9%	48.8%	20.3%	4.6%	1.3%	5.6%	100%
2005-2008Avg:	0.5%	0.2%	18.0%	42.0%	34.0%	2.4%	0.8%	2.0%	100%
2001-2004 Avg:	0.6%	0.1%	17.0%	40.8%	34.1%	2.3%	1.1%	3.9%	100%
2000 Avg:	0.8%	0.1%	18.6%	38.8%	34.9%	2.2%	1.2%	3.8%	100%
1993-1999 Avg:	1.2%	0.1%	20.3%	35.9%	37.5%	1.1%	2.2%	1.6%	100%
1992 Avg:	1.7%	NA	21.6%	35.5%	35.1%	0.6%	2.8%	2.5%	100%
1991 Avg:	1.4%	NA	19.6%	40.2%	33.2%	0.6%	2.9%	2.1%	100%
1990 Avg:	1.9%	NA	19.5%	36.8%	37.2%	0.3%	2.8%	1.5%	100%
1989 Avg:	1.1%	NA	21.2%	37.1%	37.0%	0.2%	3.1%	0.3%	100%
1988 Avg:	1.0%	NA	20.2%	32.3%	43.7%	0.0%	2.7%	0.2%	100%
