""		Recology	Waste	Total Multi Cumulative Multi
Yr	Mo	Cleanscapes	Management	Family Tons Family Tons
2015	1	1,222.8	856.6	2,079.4 2,079.4
2015	2	1,082.5	762.8	1,845.3 3,924.7
2015	3	1,224.8	850.2	2,075.0 5,999.8
2015	4	1,219.7	817.9	2,037.6 8,037.4
2015	5	1,152.3	803.7	1,956.0 9,993.4
2015	6	1,306.7	861.0	2,167.7 12,161.1
2015	7	1,313.3	888.8	2,202.1 14,363.2
2015	8	1,226.2	832.6	2,058.8 16,422.0
2015	9	1,329.8	902.7	2,232.4 18,654.4
2015	10	1,344.9	894.9	2,239.8 20,894.3
2015	11	1,372.0	961.5	2,333.5 23,227.7
2015	12	1,525.8	1,079.1	2,604.9 25,832.6
2016	1	1,356.8	933.7	2,290.5 2,290.5
2016	2	1,299.9	909.4	2,209.3 4,499.8
2016	3	1,404.2	966.6	2,370.8 6,870.6
2016	4	1,228.4	858.5	2,087.0 8,957.5
2016	5	1,319.5	910.4	2,229.9 11,187.4
2016	6	1,391.8	919.0	2,310.8 13,498.2
2016	7	1,302.0	870.6	2,172.6 15,670.9
2016	8	1,458.5	965.6	2,424.1 18,095.0
2016	9	1,397.4	922.8	2,320.3 20,415.2
2016	10	1,452.5	965.2	2,417.8 22,833.0
2016	11	1,487.0	1,074.5	2,561.4 25,394.4
2016	12	1,463.0	1,118.5	2,581.5 27,975.9
