Recology Waste								
Cleanscapes Management	Total Apt		RCS Apt	WM Apt Total Apt				
Curb Bldg 3s Apt Bldg s	Bldg s		Units	U 3n it s U nits		Units/Bldg	Lbs/Bldg	Lbs/Unit
3,319 2,366	5,685		93,559	45,189 138,748		24	731.6	30.0
3,328 2,368	5,696		93,703	45,204 138,907		24	647.9	26.6
3,326 2,374	5,700		93,677	45,386 139,063		24	728.1	29.8
3,324 2,378	5,702		93,681	45,630 139,311		24	714.7	29.3
3,334 2,388	5,722		94,309	45,894 140,203		25	683.7	27.9
3,339 2,390	5,729		94,616	46,324 140,940		25	756.7	30.8
3,342 2,398	5,740		94,620	46,334 140,954		25	767.3	31.2
3,372 2,403	5,775		94,789	46,699 141,488		25	713.0	29.1
3,388 2,406	5,794		95,224	46,434 141,658		24	770.6	31.5
3,393 2,404	5,797		95,513	46,612 142,125		25	772.8	31.5
3,396 2,409	5,805		95,580	46,814 142,394		25	803.9	32.8
3,403 2,412	5,815		96,010	46,689 142,699		25	895.9	36.5
3,409 2,414	5,823		96,081	46,692 142,773		25	786.7	32.1
3,410 2,414	5,824		95,995	46,983 142,978		25	758.7	30.9
3,412 2,421	5,833		95,826	46,988 142,814		24	812.9	33.2
3,402 2,418	5,820		95,713	47,558 143,271		25	717.2	29.1
3,414 2,422	5,836		95,918	47,565 143,483		25	764.2	31.1
3,418 2,422	5,840		95,971	47,482 143,453		25	791.4	32.2
3,454 2,438	5,892		97,295	47,573 144,868		25	737.5	30.0
3,462 2,452	5,914		97,906	47,875 145,781		25	819.8	33.3
3,462 2,452	5,914		97,906	47,875 145,781		25	784.7	31.8
NA NA	7,414		NA	NA 199,579		27	652.2	24.2
NA NA	7,414		NA	NA 199,579		27	691.0	25.7
NA NA	7,414		NA	NA 199,579		27	696.4	25.9
