""		FERROUS						CONTAM-	TOTAL	TOTAL w/o
""	ALUM	METAL	GLASS	MIXED PAPER	NEWSPAPER	PLASTICS	TIN	INANTS	w/cont	cont
2016 MF Total:	284.7	81.5	7,042.0	12,175.5	3,537.8	1,364.8	291.7	3,197.9	27,975.9	24,778.0
2015 MF Total:	262.9	75.3	6,502.5	11,242.7	3,266.8	1,260.2	269.4	2,952.9	25,832.6	22,879.7
2014 MF Total:	177.1	67.6	4,081.9	12,742.0	4,065.7	854.7	223.2	1,668.1	23,880.3	22,212.2
2013 MF Total:	166.5	63.6	3,838.2	11,981.1	3,822.8	803.7	209.8	1,568.5	22,454.2	20,885.7
2012 MF Total:	164.2	62.7	3,785.4	11,816.4	3,770.3	792.6	206.9	1,546.9	22,145.6	20,598.7
2011 MF Total:	147.8	56.5	3,407.9	10,637.9	3,394.3	713.6	186.3	1,392.6	19,936.8	18,544.2
2010 MF Total:	152.5	58.2	3,515.5	10,973.9	3,501.5	736.1	192.2	1,436.6	20,566.6	19,130.0
2009 MF Total:	143.8	54.9	3,315.7	10,350.2	3,302.5	694.3	181.3	1,355.0	19,397.8	18,042.8
2008 MF Total:	90.4	106.2	3,854.6	9,275.5	6,014.2	441.0	150.3	529.8	20,461.9	21,951.6
2007 MF Total:	93.0	109.4	3,964.5	9,539.0	6,186.5	453.6	154.6	544.9	21,045.5	20,500.6
2006 MF Total:	87.1	104.2	3,705.6	8,902.9	5,790.8	424.1	144.6	509.2	19,668.4	19,159.2
2005 MF Total:	79.8	94.5	3,400.4	8,177.0	5,309.0	389.1	132.6	467.3	18,049.7	17,582.4
2004 MF Total:	82.3	30.7	2,690.8	6,638.0	5,556.4	259.6	128.3	464.2	15,850.3	15,386.0
2003 MF Total:	76.8	28.6	2,509.7	6,190.4	5,180.8	242.0	119.6	432.9	14,780.8	14,347.9
2002 MF Total:	71.5	26.6	2,331.1	5,754.6	4,822.7	225.3	111.4	402.5	13,745.6	13,343.1
2001 MF Total:	70.0	26.0	2,282.6	5,636.3	4,725.9	220.7	109.2	394.2	13,465.0	13,070.8
2000 MF Total:	65.0	17.8	2,050.6	5,269.2	4,004.9	179.9	103.5	292.2	11,983.2	11,691.0
1999 MF Total:	68.6	NA	1,908.6	5,647.9	2,763.6	87.3	66.4	111.9	10,654.3	10,542.4
1998 MF Total:	70.2	NA	1,835.2	5,020.4	2,978.4	99.6	106.1	129.0	10,238.8	10,109.8
1997 MF Total:	68.9	NA	1,646.4	4,686.3	2,521.9	87.3	114.5	89.5	9,214.8	9,125.3
1996 MF Total:	69.9	NA	1,527.3	3,296.6	3,041.2	78.7	113.3	61.8	8,188.7	8,126.9
1995 MF Total:	49.6	NA	1,458.3	2,555.7	2,995.5	13.5	120.0	NA	7,192.4	7,192.4
1994 MF Total:	51.3	NA	1,224.6	3,013.2	1,678.1	0.8	111.0	NA	6,079.0	6,079.0
1993 MF Total:	47.0	NA	769.5	2,517.4	435.6	0.3	85.9	NA	3,855.7	3,855.7
1992 MF Total:	3.3	NA	736.2	1,438.5	726.7	NA	68.7	NA	2,973.4	2,973.4
1991 MF Total:	0.9	NA	410.6	661.7	732.7	NA	23.6	NA	1,829.5	1,829.5
1990 MF Total:	NA	NA	228.7	500.8	358.4	NA	6.3	NA	1,094.2	1,094.2
1989 MF Total:	NA	NA	69.9	42.7	192.8	NA	NA	NA	305.4	305.4
