""	Avg	Avg
""	Lbs/Bldg	Lbs/Unit
2016 Avg:	762.2	30.0
2015 Avg:	749.9	30.6
2014 Avg:	706.1	29.5
2013 Avg:	675.8	29.0
2012 Avg:	679.5	29.7
2011 Avg:	626.7	27.2
2010 Avg:	668.8	29.6
2009 Avg:	621.9	28.1
2008 Avg:	626.9	28.7
2007 Avg:	647.0	30.2
2006 Avg:	605.8	28.8
2005 Avg:	582.3	27.6
2004 Avg:	554.1	26.3
2003 Avg:	532.6	25.6
2002 Avg:	509.3	24.5
2001 Avg:	550.7	25.9
2000 Avg:	497.0	25.0
1999 Avg:	654.7	27.6
1998 Avg:	669.2	28.1
1997 Avg:	639.2	26.8
1996 Avg:	613.5	24.8
1995 Avg:	608.2	22.9
1994 Avg:	657.8	23.6
1993 Avg:	646.0	20.2
1992 Avg:	753.3	24.4
1991 Avg:	733.5	23.4
1990 Avg:	712.1	22.8
1989 Avg:	NA	NA
