""						BUSINESS			
""		Recology	Waste			RECYCLE	MOTOR OIL	ELECTRONICS	APPLIANCES
Yr	Mo	Cleanscapes	Management	Total Tons	Cumulative Tons	PROGRAM	(Gallons)	(units)	(units)
2015	1	3,518.9	3,822.9	7,341.8	7,341.8	307.4	177	8	28
2015	2	2,971.5	3,211.1	6,182.6	13,524.4	295.3	98	12	30
2015	3	3,306.1	3,546.8	6,852.8	20,377.2	317.8	134	15	49
2015	4	3,331.4	3,573.4	6,904.8	27,282.0	292.9	80	10	32
2015	5	3,199.7	3,489.1	6,688.8	33,970.9	306.3	125	5	26
2015	6	3,533.5	3,782.0	7,315.6	41,286.4	315.9	161	4	30
2015	7	3,573.3	3,888.1	7,461.3	48,747.8	318.3	133	3	42
2015	8	3,331.2	3,556.7	6,887.9	55,635.7	330.2	134	8	34
2015	9	3,619.7	3,832.7	7,452.4	63,088.1	309.1	134	1	29
2015	10	3,531.6	3,695.7	7,227.3	70,315.4	291.8	106	8	19
2015	11	3,613.1	3,855.1	7,468.2	77,783.6	306.5	62	4	20
2015	12	4,091.5	4,391.2	8,482.7	86,266.3	321.5	94	5	22
2016	1	3,625.4	3,916.5	7,541.8	7,541.8	269.1	93	2	23
2016	2	3,334.7	3,608.1	6,942.9	14,484.7	262.2	95	1	32
2016	3	3,644.6	3,908.4	7,553.0	22,037.7	312.3	124	22	46
2016	4	3,229.2	3,516.5	6,745.7	28,783.4	290.7	154	14	45
2016	5	3,449.3	3,698.5	7,147.8	35,931.2	308.7	181	8	42
2016	6	3,569.2	3,779.8	7,349.0	43,280.1	322.5	159	14	71
2016	7	3,337.4	3,600.0	6,937.4	50,217.5	335.7	131	21	41
2016	8	3,702.4	3,932.1	7,634.5	57,852.0	362.1	133	14	56
2016	9	3,589.4	3,790.5	7,379.9	65,231.8	330.7	136	14	50
2016	10	3,569.5	3,704.9	7,274.4	72,506.3	353.7	97	7	27
2016	11	3,859.0	4,085.5	7,944.5	80,450.8	362.1	109	1	36
2016	12	3,821.5	4,025.3	7,846.7	88,297.5	402.4	65	13	64
