SPU Residential Survey Market Prices ($/Ton)												
		Baled	Loose	Mixed	Baled	Loose	Loose		Brown	Clear	Green	OCC
Yr	Mo	Alum	Alum	Paper	News	News	Plastic	Tin	Glass	Glass	Glass	(Cardboard)
88	5		$680.00	$3.50		$40.00		$33.80				
88	6		$760.00	$3.50		$40.00		$33.80				
88	7		$760.00	$3.50		$40.00		$33.80				
88	8		$753.33	$6.00		$31.67		$55.00				
88	9		$733.33	$6.00		$30.67		$55.00				
88	10		$673.33	$6.00		$28.33		$55.00				
88	11		$653.00	$6.00		$20.00		$55.00				
88	12		$653.00	$6.00		$20.00		$55.00				
89	1		$753.00	$6.00		$18.33		$55.00				
89	2		$740.00	$6.00		$18.33		$55.00				
89	3		$740.00	$5.00		$21.67		$55.00				
89	4		$673.00	$5.00		$20.00		$55.00				
89	5		$673.33	$6.00		$18.33		$55.00				
89	6		$653.33	$5.00		$16.67		$55.00				
89	7		$740.00	$5.00		$10.00		$55.00				
89	8		$587.00	-$2.50		$5.00		$55.00				
89	9		$586.67	-$2.50		$7.50		$55.00				
89	10		$586.67	-$2.50		$8.33		$55.00				
89	11		$693.00	-$2.50		$8.33		$55.00				
89	12		$626.66	-$2.50		$8.33		$55.00				
90	1		$606.66	-$2.50		$8.33		$55.00				
90	2		$446.67	-$2.50		$8.33		$55.00				
90	3		$446.67	-$2.50		$8.33		$55.00				
90	4		$466.67	-$2.50		$10.00		$55.00				
90	5		$466.67	-$2.50		$8.33		$55.00				
90	6		$526.67	-$2.50		$6.67		$55.00				
90	7		$526.27	-$2.50		$5.83		$55.00				
90	8		$513.33	-$2.50		$5.83		$55.00				
90	9		$546.67	-$2.50		$5.83		$55.00				
90	10		$580.00	-$2.50		$5.83		$55.00				
90	11		$560.00	-$2.50		$5.83		$55.00				
90	12		$533.33	$0.00		$5.83		$55.00				
91	1		$500.00	$10.00		$5.83		$55.00				
91	2		$520.00	$10.00		$5.83		$53.00				
91	3		$560.00	$15.00		$5.83		$48.00				
91	4		$500.00	$15.00		$5.83		$45.00				
91	5		$440.00	$15.00		$11.67		$38.00				
