	WASTE MANAGENT AVERAGE PRICE PER TON (SOLD)									SURVEY AVERAGE PRICE PER TON																																										
			Baled		Mixed	Baled				Baled 	Loose	Mixed	Baled	Loose			Brown	Clear	Green	Loose	OCC																															
datevalue	Yr	Mo	Alum	Glass	Paper	News	Plastic	Tin	Ferrous	Alum	Alum	Paper	News	News	Plastic	Tin	Glass	Glass	Glass	Plastic	(Cardboard)																															
Jan-88	88	1																																																		
Feb-88	88	2	"$1,283.78"	$41.69	$15.00	$75.00		$33.93																																												
Mar-88	88	3	"$1,283.78"	$41.69	$15.00	$65.00		$33.93																																												
Apr-88	88	4	"$1,283.78"	$41.95	$15.00	$60.00		$33.93																																												
May-88	88	5	"$1,380.00"	$42.00	$5.00	$60.00		$34.00			$680.00	$3.50		$40.00		$33.80																																				
Jun-88	88	6	"$1,380.00"	$42.00	$5.00	$55.00		$34.00			$760.00	$3.50		$40.00		$33.80																																				
Jul-88	88	7	"$1,380.00"	$42.00	$5.00	$50.00		$24.00			$760.00	$3.50		$40.00		$33.80																																				
Aug-88	88	8	"$1,344.39"	$42.00		$50.00		$28.00			$753.33	$6.00		$31.67		$55.00																																				
Sep-88	88	9	"$1,260.56"	$42.00	$25.00	$42.96		$35.36			$733.33	$6.00		$30.67		$55.00																																				
Oct-88	88	10	"$1,240.00"	$42.00	$25.00	$50.00		$47.68			$673.33	$6.00		$28.33		$55.00																																				
Nov-88	88	11	"$1,180.00"	$42.00	$17.57	$43.00		$50.00			$653.00	$6.00		$20.00		$55.00																																				
Dec-88	88	12	"$1,200.00"	$42.00	$13.25	$40.63		$50.00			$653.00	$6.00		$20.00		$55.00																																				
Jan-89	89	1	"$1,360.00"	$42.00	$9.38	$37.00		$50.00			$753.00	$6.00		$18.33		$55.00																																				
Feb-89	89	2	"$1,480.00"	$42.00	$9.84	$37.00		$50.00			$740.00	$6.00		$18.33		$55.00																																				
Mar-89	89	3	"$1,480.00"	$42.00	$13.00	$38.80		$50.00			$740.00	$5.00		$21.67		$55.00																																				
Apr-89	89	4	"$1,360.00"	$42.00	$13.00	$41.00		$55.00			$673.00	$5.00		$20.00		$55.00																																				
May-89	89	5	"$1,420.00"	$42.00	$12.00	$38.00		$50.00			$673.33	$6.00		$18.33		$55.00																																				
Jun-89	89	6	"$1,320.00"	$42.00	$12.00	$36.00		$55.00			$653.33	$5.00		$16.67		$55.00																																				
Jul-89	89	7	"$1,180.00"	$42.00	$8.00	$30.00		$55.00			$740.00	$5.00		$10.00		$55.00																																				
Aug-89	89	8	"$1,100.00"	$45.00	$4.00	$32.00		$55.00			$587.00	-$2.50		$5.00		$55.00																																				
Sep-89	89	9	"$1,100.00"	$45.00	$5.00	$39.00		$55.00			$586.67	-$2.50		$7.50		$55.00																																				
Oct-89	89	10	"$1,100.00"	$45.00	$8.00	$42.00		$55.00			$586.67	-$2.50		$8.33		$55.00																																				
Nov-89	89	11	"$1,096.00"	$45.00	$9.00	$41.00		$55.00			$693.00	-$2.50		$8.33		$55.00																																				
Dec-89	89	12	"$1,016.53"	$44.89	$8.00	$38.00		$49.10			$626.66	-$2.50		$8.33		$55.00																																				
Jan-90	90	1	$936.00	$44.89	$10.00	$38.00	$320.00	$49.10			$606.66	-$2.50		$8.33		$55.00																																				
Feb-90	90	2	$936.00	$44.89	$11.14	$37.50	$320.00	$55.00			$446.67	-$2.50		$8.33		$55.00																																				
Mar-90	90	3	$936.00	$44.89	$16.00	$37.50	$320.00	$55.00			$446.67	-$2.50		$8.33		$55.00																																				
Apr-90	90	4	$936.00	$44.89	$17.00	$36.00	$320.00	$55.00			$466.67	-$2.50		$10.00		$55.00																																				
May-90	90	5	"$1,036.00"	$44.89	$9.00	$34.00	$320.00	$55.00			$466.67	-$2.50		$8.33		$55.00																																				
Jun-90	90	6	"$1,036.00"	$44.89	$6.00	$34.00	$320.00	$55.00			$526.67	-$2.50		$6.67		$55.00																																				
Jul-90	90	7	"$1,036.00"	$44.89	$8.00	$35.00	$320.00	$55.00			$526.27	-$2.50		$5.83		$55.00																																				
Aug-90	90	8	"$1,036.00"	$44.89	$6.00	$34.00	$320.00	$55.00			$513.33	-$2.50		$5.83		$55.00																																				
Sep-90	90	9	"$1,216.00"	$44.89	$9.50	$35.00	$320.00	$55.00			$546.67	-$2.50		$5.83		$55.00																																				
Oct-90	90	10	$976.00	$44.89	$12.00	$42.00	$320.00	$55.00			$580.00	-$2.50		$5.83		$55.00																																				
Nov-90	90	11	$976.00	$44.89	$12.00	$44.00	$320.00	$55.00			$560.00	-$2.50		$5.83		$55.00																																				
Dec-90	90	12	$896.00	$40.00	$17.50	$50.00	$320.00	$55.00			$533.33	$0.00		$5.83		$55.00																																				
Jan-91	91	1	$996.00	$40.00	$22.00	$50.00	$320.00	$49.11			$500.00	$10.00		$5.83		$55.00																																				
Feb-91	91	2	$996.00	$40.00	$25.00	$50.00	$320.00	$49.11			$520.00	$10.00		$5.83		$53.00																																				
Mar-91	91	3	$946.77	$40.00	$24.94	$61.23	$320.00	$42.86			$560.00	$15.00		$5.83		$48.00																																				
Apr-91	91	4	$858.71	$40.00	$16.70	$63.40	$320.00	$40.18			$500.00	$15.00		$5.83		$45.00																																				
May-91	91	5	$729.73	$40.00	$8.14	$63.03	$320.00	$33.93			$440.00	$15.00		$11.67		$38.00																																				
Jun-91	91	6	$690.00	$40.00	$5.26	$50.00	$320.00	$26.79			$326.67	$5.00		$8.33		$30.00																																				
Jul-91	91	7	$690.00	$40.00	$2.49	$41.95	$320.00	$26.79			$326.67	-$2.50		$8.33		$30.00																																				
Aug-91	91	8	$690.00	$40.00	$2.49	$41.95	$320.00	$26.79			$340.00	-$2.50		$5.83		$30.00																																				
Sep-91	91	9	$740.00	$31.98	$9.64	$43.02	$320.00	$26.79			$366.67	-$2.50		$5.83		$30.00																																				
Oct-91	91	10	$670.69	$30.95	$19.14	$43.34	$320.00	$26.79			$366.67	-$2.50		$5.83		$30.00																																				
Nov-91	91	11	$640.00	$31.21	$20.40	$42.63	$320.00	$26.79			$320.00	$0.00		$7.50		$30.00																																				
Dec-91	91	12	$640.00	$28.85	$19.62	$43.05	$320.00	$26.79			$326.67	$0.00		$7.50		$30.00																																				
Jan-92	92	1	$671.28	$28.91	$12.34	$42.50	$320.00	$26.79			$340.00	$0.00		$7.50		$30.00																																				
Feb-92	92	2	$671.28	$28.91	$12.34	$42.50	$320.00	$26.79			$340.00	$0.00		$7.50		$30.00																																				
Mar-92	92	3	$532.51	$30.60	$5.84	$42.53	$150.45	$26.79			$346.67	$0.00		$7.50		$30.00																																				
Apr-92	92	4	$736.75	$32.11	-$5.22	$38.93	$254.67	$26.79			$393.33	$0.00		$7.50		$30.00																																				
May-92	92	5	$842.12	$32.16	-$7.60	$42.40	$194.93	$26.68			$413.33	-$2.50		$7.50		$30.00																																				
Jun-92	92	6	$815.85	$30.81	-$4.19	$41.70	$214.82	$26.79			$413.33	-$5.00		$7.50		$22.00																																				
Jul-92	92	7	$799.26	$28.23	$4.27	$40.00	$218.29	$19.64			$400.00	-$5.00		$7.50		$22.00																																				
Aug-92	92	8	$805.16	$25.50	$6.89	$46.67	$270.93	$11.65			$400.00	-$5.00		$6.67		$22.00																																				
Sep-92	92	9	$801.62	$24.89	$7.05	$40.12	$216.29	$19.60			$413.33	-$5.00		$6.67		$22.00																																				
Oct-92	92	10	$765.43	$10.15	$9.45	$40.29	$250.04	$19.30			$400.00	-$5.00		$6.67		$22.00																																				
Nov-92	92	11	$760.00	$10.26	$10.40	$45.01	$205.23	$19.64			$400.00	-$5.00		$6.67		$22.00																																				
Dec-92	92	12	$773.75	$8.50	$10.10	$44.95	$262.73	$20.05			$400.00	-$5.00		$6.67		$22.00																																				
Jan-93	93	1	$817.09	$7.61	$10.69	$49.61	$181.66	$19.73			$413.33	-$5.00		$8.33		$22.00																																				
Feb-93	93	2	$800.00	$9.14	$8.90	$49.68	$208.08	$19.64			$413.33	-$5.00		$9.17		$22.00																																				
Mar-93	93	3	$733.22	$10.17	$5.43	$51.07	$183.07	$19.70			$413.33	-$5.00		$9.17		$22.00																																				
Apr-93	93	4	$716.94	$8.24			$164.78	$24.08		$740.00	$393.33	-$5.00	$25.00	$9.17	$40.00	$22.00	$33.00	$33.00																																		
May-93	93	5	$684.40	$6.34	-$8.48	$49.51	$169.78	$26.79		$700.00	$366.67	-$20.00	$25.00	$10.00	$20.00	$22.00	$33.00	$33.00																																		
Jun-93	93	6	$684.40	$8.32	-$14.30	$45.95	$156.65	$26.61		$700.00	$373.33	-$20.00	$17.50	$13.33	$20.00	$25.00	$33.00	$33.00																																		
Jul-93	93	7	$684.40	$8.08	-$10.94	$45.43	$176.82	$26.31		$700.00	$353.33	-$20.00	$17.50	$10.00	$20.00	$25.00	$33.00	$33.00																																		
Aug-93	93	8	$720.37	$7.20	-$13.04	$44.01	$158.05	$27.52		$760.00	$353.33	-$15.00	$12.50	$8.33	$20.00	$25.00	$33.00	$33.00																																		
Sep-93	93	9	$684.40	$8.62	-$1.98	$45.28	$138.22	$26.79		$730.00	$353.33	-$15.00	$12.50	$10.00	$20.00	$25.00	$33.00	$33.00																																		
Oct-93	93	10	$632.44	$8.57	-$2.46	$45.83	$166.84	$29.46		$730.00	$353.00	-$15.00	$12.50	$8.33	$20.00	$25.00	$33.00	$33.00																																		
Nov-93	93	11	$624.40	$8.33	-$2.60	$50.00	$149.96	$29.46		$690.00	$340.00	-$15.00	$12.50	$8.33	$30.00	$27.00	$33.00	$33.00																																		
Dec-93	93	12	$668.69	$7.52	-$0.02	$52.69	$143.07	$31.25		$670.00	$340.00	-$15.00	$12.50	$8.33	$20.00	$29.00	$33.00	$33.00																																		
Jan-94	94	1	$728.18	$5.70	$9.36	$55.88	$147.13	$35.71		$700.00	$340.00	-$10.00	$12.50	$8.33	$20.00	$29.00	$25.00	$33.00																																		
Feb-94	94	2	$809.26	$6.19	$13.66	$55.64	$124.06	$35.71		$820.00	$406.67	-$10.00	$17.50	$8.33	$20.00	$29.00	$25.00	$33.00																																		
Mar-94	94	3	$834.40	$6.22	$19.90	$56.24	$129.28	$35.71		$850.00	$433.33	-$5.00	$17.50	$8.33	$20.00	$29.00	$25.00	$33.00																																		
Apr-94	94	4	$807.38	$7.21	$23.96	$56.09	$179.76	$35.71		$850.00	$433.33	-$5.00	$17.50	$10.00	$20.00	$29.00	$25.00	$33.00																																		
May-94	94	5	$763.73	$6.46	$37.37	$61.26	$152.40	$35.68		$910.00	$400.00	$0.00	$17.50	$10.00	$20.00	$29.00	$25.00	$33.00																																		
Jun-94	94	6	$837.19	$6.89	$59.75	$67.72	$162.22	$35.71		$910.00	$406.67	$0.00	$17.50	$11.67	$20.00	$29.00	$25.00	$33.00																																		
Jul-94	94	7	"$1,005.28"	$6.60	$81.56	$98.37	$219.53	$44.64		"$1,060.00"	$453.33	$7.50	$27.50	$11.67	$20.00	$36.00	$25.00	$33.00																																		
Aug-94	94	8	"$1,006.10"	$6.28	$73.07	$110.00	$188.64	$44.64		"$1,120.00"	$460.00	$22.50	$42.50	$15.00	$20.00	$36.00	$25.00	$33.00																																		
Sep-94	94	9	"$1,036.79"	$6.19	$40.60	$110.00	$267.54	$44.64		"$1,120.00"	$460.00	$22.50	$52.50	$15.00	$20.00	$40.00	$25.00	$33.00																																		
Oct-94	94	10	"$1,169.69"	$9.29	$42.40	$110.00	$185.33	$44.64	$40.00	"$1,120.00"	$460.00	$17.50	$50.00	$15.00	$20.00	$46.00	$25.00	$33.00																																		
Nov-94	94	11	"$1,332.55"	$10.13	$74.02	$120.05	$281.60	$44.64	$38.21	"$1,340.00"	$593.33	$15.00	$40.00	$15.00	$20.00	$46.00	$25.00	$33.00																																		
Dec-94	94	12	"$1,313.04"	$9.45	$94.42	$144.54	$425.30	$44.64	$44.50	"$1,420.00"	$666.67	$15.00	$45.00	$18.33	$20.00	$46.00	$25.00	$33.00																																		
Jan-95	95	1	"$1,412.17"	$5.27	$103.61	$150.74	$434.60	$44.64	$40.00	"$1,420.00"	$666.67	$35.00	$65.00	$26.67	$20.00	$46.00	$25.00	$33.00																																		
