""	Garbage	Organics	Wood Waste	Recyclables	Appliances	Tires	Grand Total												
""		Self Haul	"Cleanscapes0059"	"WasteManagement9955"	"GarbageTotal"	Self Haul	"Cleanscapes0059"	"WasteManagement9955"	"OrganicsTotal"	Self Haul	"WoodWasteTotal"								
""		Car	Truck			Car	Truck				Car	Truck							
North	SEP	0	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	13
""	OCT	0	13	457	175	646	0	0	0	0	0	0	0	0	0	0	0	0	646
""	NOV	2	131	2,549	952	3,634	0	2	0	536	199	737	0	1	1	4	0	0	4,376
""	DEC	94	1,320	2,408	1,124	4,947	4	55	0	210	204	472	1	27	28	25	7	0	5,480
""	North Total	97	1,477	5,414	2,252	9,240	4	57	0	746	403	1,209	1	28	29	29	7	0	10,515
Old South	DEC	0	0	0	0	0	0	0	0	2	2	4	0	0	0	0	0	0	4
""	"Old SouthTotal"	0	0	0	0	0	0	0	0	2	2	4	0	0	0	0	0	0	4
South	JAN	154	4,335	9,441	8,551	22,482	4	206	0	2,245	2,232	4,688	2	52	54	93	9	1	27,327
FEB	154	4,397	9,312	8,611	22,474	8	230	0	2,219	2,250	4,708	1	71	73	99	7	2	27,361	
MAR	183	4,941	10,195	9,490	24,809	11	339	0	3,242	3,426	7,018	1	70	71	100	8	3	32,010	
APR	205	5,209	9,485	8,675	23,574	41	429	0	3,850	5,007	9,327	2	70	73	96	8	1	33,079	
MAY	199	5,443	9,901	8,968	24,511	20	491	0	3,992	5,426	9,929	2	68	70	108	10	2	34,631	
JUN	211	5,789	10,132	8,981	25,113	17	452	0	3,612	4,792	8,873	2	68	70	96	10	1	34,162	
JUL	243	5,941	9,715	8,598	24,497	18	523	0	3,048	4,204	7,794	2	62	64	127	20	2	32,504	
AUG	213	6,244	10,631	9,603	26,691	14	353	0	2,902	4,035	7,305	3	75	79	109	7	2	34,192	
SEP	187	5,689	10,016	8,739	24,632	12	356	0	2,864	3,833	7,065	2	71	73	105	9	4	31,887	
OCT	156	4,994	9,505	8,594	23,250	11	292	0	3,315	3,949	7,567	2	66	68	91	5	2	30,982	
NOV	140	4,880	7,637	8,274	20,931	7	328	0	4,018	5,046	9,400	1	74	75	104	6	2	30,518	
DEC	94	4,246	7,401	7,568	19,309	5	159	0	2,199	2,597	4,961	1	68	68	112	5	1	24,456	
South Total	2,139	62,107	113,372	104,654	282,272	170	4,159	0	37,509	46,798	88,636	21	816	837	1,238	104	23	373,111	
""																			
Grand Total	2,236	63,585	118,787	106,905	291,512	174	4,216	0	38,256	47,203	89,849	22	844	866	1,268	111	23	383,629	
