""		Garbage	Organics	Wood Waste	Recyclables	Appliances	Tires	Grand Total											
""			Self Haul	"Cleanscapes0059"	"WasteManagement9955"	"GarbageTotal"	Self Haul	"Cleanscapes0059"	"WasteManagement9955"	"OrganicsTotal"	Self Haul	"WoodWasteTotal"							
""			Car	Truck			Car	Truck			Car	Truck							
""	North	SEP	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
""		OCT	0	2	87	26	115	0	0	0	0	0	0	0	0	0	0	0	115
""		NOV	23	157	476	128	784	4	6	83	23	116	1	2	3	11	3	2	919
""		DEC	986	2,842	470	153	4,451	31	197	51	36	315	9	55	64	236	71	7	5,144
""		North Total	1,009	3,003	1,033	307	5,352	35	203	134	59	431	10	57	67	247	74	9	6,180
""	Old South	DEC	0	0	0	0	0	0	0	8	8	16	0	0	0	0	0	0	16
""		"Old SouthTotal"	0	0	0	0	0	0	0	8	8	16	0	0	0	0	0	0	16
""	South	JAN	1,326	7,529	1,962	1,506	12,323	30	574	400	416	1,420	18	108	126	1,832	72	12	15,785
""	FEB	1,250	7,689	1,858	1,541	12,338	48	837	394	418	1,697	11	128	139	1,268	69	12	15,523	
""	MAR	1,332	8,440	2,001	1,690	13,463	74	1,059	514	471	2,118	10	130	140	1,366	79	27	17,193	
""	APR	1,627	9,709	1,913	1,586	14,835	153	1,598	613	543	2,907	16	136	152	1,455	82	17	19,448	
""	MAY	1,538	9,696	1,963	1,648	14,845	124	1,919	635	604	3,282	19	121	140	1,460	79	16	19,822	
""	JUN	1,686	9,599	2,025	1,624	14,934	121	1,929	566	588	3,204	12	131	143	1,507	92	10	19,890	
""	JUL	1,874	10,731	1,914	1,530	16,049	138	2,036	477	525	3,176	20	132	152	1,592	106	22	21,097	
""	AUG	1,711	10,578	2,082	1,720	16,091	117	1,430	458	527	2,532	25	159	184	1,463	65	21	20,356	
""	SEP	1,534	9,599	2,008	1,561	14,702	102	1,481	443	508	2,534	9	144	153	1,391	61	21	18,862	
""	OCT	1,358	8,189	1,890	1,449	12,886	78	1,038	484	495	2,095	18	119	137	1,277	65	13	16,473	
""	NOV	1,156	7,738	1,558	1,424	11,876	47	969	546	535	2,097	7	128	135	1,243	73	16	15,440	
""	DEC	852	6,466	1,569	1,402	10,289	33	485	377	464	1,359	5	114	119	1,338	55	9	13,169	
""	South Total	17,244	105,963	22,743	18,681	164,631	1,065	15,355	5,907	6,094	28,421	170	1,550	1,720	17,192	898	196	213,058	
""																			
""	Grand Total	18,253	108,966	23,776	18,988	169,983	1,100	15,558	6,049	6,161	28,868	180	1,607	1,787	17,439	972	205	219,254	
